Name                                                Milliseconds                                        Name                                                BillingCountry
--------------------------------------------------  --------------------------------------------------  --------------------------------------------------  --------------
O Pulso                                             199131                                              MPEG audio file                                     Hungary       
O Pulso                                             199131                                              Protected AAC audio file                            Hungary       
O Pulso                                             199131                                              Protected MPEG-4 video file                         Hungary       
O Pulso                                             199131                                              Purchased AAC audio file                            Hungary       
O Pulso                                             199131                                              AAC audio file                                      Hungary       
Nem 5 Minutos Guardados                             245995                                              MPEG audio file                                     Hungary       
Nem 5 Minutos Guardados                             245995                                              Protected AAC audio file                            Hungary       
Nem 5 Minutos Guardados                             245995                                              Protected MPEG-4 video file                         Hungary       
Nem 5 Minutos Guardados                             245995                                              Purchased AAC audio file                            Hungary       
Nem 5 Minutos Guardados                             245995                                              AAC audio file                                      Hungary       
Dirty Little Thing                                  237844                                              MPEG audio file                                     Hungary       
Dirty Little Thing                                  237844                                              Protected AAC audio file                            Hungary       
Dirty Little Thing                                  237844                                              Protected MPEG-4 video file                         Hungary       
Dirty Little Thing                                  237844                                              Purchased AAC audio file                            Hungary       
Dirty Little Thing                                  237844                                              AAC audio file                                      Hungary       
So Por Amor                                         236591                                              MPEG audio file                                     Hungary       
So Por Amor                                         236591                                              Protected AAC audio file                            Hungary       
So Por Amor                                         236591                                              Protected MPEG-4 video file                         Hungary       
So Por Amor                                         236591                                              Purchased AAC audio file                            Hungary       
So Por Amor                                         236591                                              AAC audio file                                      Hungary       
Here I Go Again                                     233874                                              MPEG audio file                                     Hungary       
Here I Go Again                                     233874                                              Protected AAC audio file                            Hungary       
Here I Go Again                                     233874                                              Protected MPEG-4 video file                         Hungary       
Here I Go Again                                     233874                                              Purchased AAC audio file                            Hungary       
Here I Go Again                                     233874                                              AAC audio file                                      Hungary       
The Deeper The Love                                 262791                                              MPEG audio file                                     Hungary       
The Deeper The Love                                 262791                                              Protected AAC audio file                            Hungary       
The Deeper The Love                                 262791                                              Protected MPEG-4 video file                         Hungary       
The Deeper The Love                                 262791                                              Purchased AAC audio file                            Hungary       
The Deeper The Love                                 262791                                              AAC audio file                                      Hungary       
Seu Balancê                                        219454                                              MPEG audio file                                     Hungary       
Seu Balancê                                        219454                                              Protected AAC audio file                            Hungary       
Seu Balancê                                        219454                                              Protected MPEG-4 video file                         Hungary       
Seu Balancê                                        219454                                              Purchased AAC audio file                            Hungary       
Seu Balancê                                        219454                                              AAC audio file                                      Hungary       
Sapopemba e Maxambomba                              245394                                              MPEG audio file                                     Hungary       
Sapopemba e Maxambomba                              245394                                              Protected AAC audio file                            Hungary       
Sapopemba e Maxambomba                              245394                                              Protected MPEG-4 video file                         Hungary       
Sapopemba e Maxambomba                              245394                                              Purchased AAC audio file                            Hungary       
Sapopemba e Maxambomba                              245394                                              AAC audio file                                      Hungary       
The Man Behind the Curtain                          2615990                                             MPEG audio file                                     Hungary       
The Man Behind the Curtain                          2615990                                             Protected AAC audio file                            Hungary       
The Man Behind the Curtain                          2615990                                             Protected MPEG-4 video file                         Hungary       
The Man Behind the Curtain                          2615990                                             Purchased AAC audio file                            Hungary       
The Man Behind the Curtain                          2615990                                             AAC audio file                                      Hungary       
The Dundies                                         1253541                                             MPEG audio file                                     Hungary       
The Dundies                                         1253541                                             Protected AAC audio file                            Hungary       
The Dundies                                         1253541                                             Protected MPEG-4 video file                         Hungary       
The Dundies                                         1253541                                             Purchased AAC audio file                            Hungary       
The Dundies                                         1253541                                             AAC audio file                                      Hungary       
Christmas Party                                     1282115                                             MPEG audio file                                     Hungary       
Christmas Party                                     1282115                                             Protected AAC audio file                            Hungary       
Christmas Party                                     1282115                                             Protected MPEG-4 video file                         Hungary       
Christmas Party                                     1282115                                             Purchased AAC audio file                            Hungary       
Christmas Party                                     1282115                                             AAC audio file                                      Hungary       
Michael's Birthday                                  1237791                                             MPEG audio file                                     Hungary       
Michael's Birthday                                  1237791                                             Protected AAC audio file                            Hungary       
Michael's Birthday                                  1237791                                             Protected MPEG-4 video file                         Hungary       
Michael's Birthday                                  1237791                                             Purchased AAC audio file                            Hungary       
Michael's Birthday                                  1237791                                             AAC audio file                                      Hungary       
Diwali                                              1279904                                             MPEG audio file                                     Hungary       
Diwali                                              1279904                                             Protected AAC audio file                            Hungary       
Diwali                                              1279904                                             Protected MPEG-4 video file                         Hungary       
Diwali                                              1279904                                             Purchased AAC audio file                            Hungary       
Diwali                                              1279904                                             AAC audio file                                      Hungary       
Phyllis's Wedding                                   1271521                                             MPEG audio file                                     Hungary       
