Name                 Title               Name        Name        Name             UnitPrice 
-------------------  ------------------  ----------  ----------  ---------------  ----------
Vinícius De Moraes  Vinicius De Moraes  Adeus       Latin       MPEG audio file  0.99      
Vinícius De Moraes  Vinicius De Moraes  Cotidiano   Latin       MPEG audio file  0.99      
Vinícius De Moraes  Vinicius De Moraes  Meu Pranto  Latin       MPEG audio file  0.99      
Vinícius De Moraes  Vinicius De Moraes  Mulher Car  Latin       MPEG audio file  0.99      
Vinícius De Moraes  Vinicius De Moraes  O Velho E   Latin       MPEG audio file  0.99      
Vinícius De Moraes  Vinicius De Moraes  Oi, La      Latin       MPEG audio file  0.99      
Vinícius De Moraes  Vinicius De Moraes  Pela Luz D  Latin       MPEG audio file  0.99      
Vinícius De Moraes  Vinicius De Moraes  Soneto Da   Latin       MPEG audio file  0.99      
Vinícius De Moraes  Vinicius De Moraes  Vinicius,   Latin       MPEG audio file  0.99      
